from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id,from_trip_id,to_trip_id
ch:1:sloid:92775:0:810006,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:533072,2,120,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:810006,2,120,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:633396,2,120,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:476705,2,120,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:169103,2,120,,,,
ch:1:sloid:92775:0:144182,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:533072,2,120,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:810006,2,120,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:144182,2,120,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:476705,2,120,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:169103,2,120,,,,
ch:1:sloid:92775:0:633396,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:533072,2,180,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:810006,2,180,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:144182,2,120,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:633396,2,120,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:169103,2,120,,,,
ch:1:sloid:92775:0:476705,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:533072,2,120,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:810006,2,120,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:144182,2,120,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:633396,2,120,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:476705,2,120,,,,
ch:1:sloid:92775:0:169103,ch:1:sloid:92775:0:232924,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:533072,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:810006,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:144182,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:633396,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:476705,2,180,,,,
ch:1:sloid:92775:0:232924,ch:1:sloid:92775:0:169103,2,180,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93138:0:883641,2,240,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93138:0:552298,2,360,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93138:0:909127,2,300,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93138:0:349915,2,300,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93138:0:693151,2,480,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93174:0:769140,2,120,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93167:0:307748,2,300,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93167:0:961201,2,300,,,,
ch:1:sloid:93174:0:436271,ch:1:sloid:93167:0:357210,2,360,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93138:0:883641,2,240,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93138:0:552298,2,360,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93138:0:909127,2,300,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93138:0:349915,2,300,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93138:0:693151,2,480,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93174:0:436271,2,120,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93167:0:307748,2,300,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93167:0:961201,2,300,,,,
ch:1:sloid:93174:0:769140,ch:1:sloid:93167:0:357210,2,360,,,,
ch:1:sloid:1401780:0:187984,ch:1:sloid:1401780:0:170217,2,120,,,,
ch:1:sloid:1401780:0:170217,ch:1:sloid:1401780:0:187984,2,120,,,,
ch:1:sloid:93137:0:956466,ch:1:sloid:93137:0:952467,2,180,,,,
ch:1:sloid:93137:0:956466,ch:1:sloid:93137:0:156509,2,120,,,,
ch:1:sloid:93137:0:952467,ch:1:sloid:93137:0:956466,2,180,,,,
ch:1:sloid:93137:0:952467,ch:1:sloid:93137:0:156509,2,180,,,,
ch:1:sloid:93137:0:156509,ch:1:sloid:93137:0:956466,2,120,,,,
ch:1:sloid:93137:0:156509,ch:1:sloid:93137:0:952467,2,180,,,,
ch:1:sloid:95556:0:459560,ch:1:sloid:95556:0:305709,2,120,,,,
ch:1:sloid:95556:0:305709,ch:1:sloid:95556:0:459560,2,120,,,,
ch:1:sloid:87028:0:224809,ch:1:sloid:87028:0:15053,2,120,,,,
ch:1:sloid:87028:0:15053,ch:1:sloid:87028:0:224809,2,120,,,,
ch:1:sloid:93106:0:919128,ch:1:sloid:93106:0:611020,2,120,,,,
ch:1:sloid:93106:0:611020,ch:1:sloid:93106:0:919128,2,120,,,,
ch:1:sloid:1401732:0:822110,ch:1:sloid:1401732:0:137806,2,120,,,,
ch:1:sloid:1401732:0:137806,ch:1:sloid:1401732:0:822110,2,120,,,,
ch:1:sloid:95953:0:108204,ch:1:sloid:95953:0:482223,2,120,,,,
ch:1:sloid:95953:0:482223,ch:1:sloid:95953:0:108204,2,120,,,,
ch:1:sloid:92627:0:253310,ch:1:sloid:92627:0:68073,2,120,,,,
ch:1:sloid:92627:0:68073,ch:1:sloid:92627:0:253310,2,120,,,,
ch:1:sloid:92630:0:407325,ch:1:sloid:92630:0:210754,2,120,,,,
ch:1:sloid:92630:0:210754,ch:1:sloid:92630:0:407325,2,120,,,,
ch:1:sloid:92628:0:135458,ch:1:sloid:92628:0:966509,2,120,,,,
ch:1:sloid:92628:0:966509,ch:1:sloid:92628:0:135458,2,120,,,,
ch:1:sloid:87031:0:10374,ch:1:sloid:87031:0:364943,2,120,,,,
ch:1:sloid:87031:0:10374,ch:1:sloid:87031:0:795463,2,120,,,,
ch:1:sloid:87031:0:364943,ch:1:sloid:87031:0:10374,2,120,,,,
ch:1:sloid:87031:0:364943,ch:1:sloid:87031:0:795463,2,120,,,,
ch:1:sloid:87031:0:795463,ch:1:sloid:87031:0:10374,2,120,,,,
ch:1:sloid:87031:0:795463,ch:1:sloid:87031:0:364943,2,120,,,,
ch:1:sloid:92778:0:690317,ch:1:sloid:92778:0:149921,2,120,,,,
ch:1:sloid:92778:0:690317,ch:1:sloid:92778:0:252111,2,120,,,,
ch:1:sloid:92778:0:690317,ch:1:sloid:92778:0:5804,2,120,,,,
ch:1:sloid:92778:0:149921,ch:1:sloid:92778:0:690317,2,120,,,,
ch:1:sloid:92778:0:149921,ch:1:sloid:92778:0:252111,2,120,,,,
ch:1:sloid:92778:0:149921,ch:1:sloid:92778:0:5804,2,180,,,,
ch:1:sloid:92778:0:252111,ch:1:sloid:92778:0:690317,2,120,,,,
ch:1:sloid:92778:0:252111,ch:1:sloid:92778:0:149921,2,120,,,,
ch:1:sloid:92778:0:252111,ch:1:sloid:92778:0:5804,2,120,,,,
ch:1:sloid:92778:0:5804,ch:1:sloid:92778:0:690317,2,120,,,,
ch:1:sloid:92778:0:5804,ch:1:sloid:92778:0:149921,2,180,,,,
ch:1:sloid:92778:0:5804,ch:1:sloid:92778:0:252111,2,120,,,,
ch:1:sloid:92621:0:405596,ch:1:sloid:92621:0:342695,2,120,,,,
ch:1:sloid:92621:0:342695,ch:1:sloid:92621:0:405596,2,120,,,,
ch:1:sloid:92668:0:678156,ch:1:sloid:92668:0:722886,2,120,,,,
ch:1:sloid:92668:0:722886,ch:1:sloid:92668:0:678156,2,120,,,,
ch:1:sloid:92624:0:946157,ch:1:sloid:92624:0:894361,2,0,,,,
ch:1:sloid:92624:0:894361,ch:1:sloid:92624:0:946157,2,0,,,,
ch:1:sloid:92625:0:6323,ch:1:sloid:92625:0:192087,2,120,,,,
ch:1:sloid:92625:0:192087,ch:1:sloid:92625:0:6323,2,120,,,,
ch:1:sloid:95010:0:614262,ch:1:sloid:95010:0:422399,2,120,,,,
ch:1:sloid:95010:0:422399,ch:1:sloid:95010:0:614262,2,120,,,,
ch:1:sloid:87029:0:27330,ch:1:sloid:87029:0:611469,2,0,,,,
ch:1:sloid:87029:0:611469,ch:1:sloid:87029:0:27330,2,0,,,,
ch:1:sloid:1401637:0:710042,ch:1:sloid:1401637:0:150674,2,120,,,,
