stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code,stop_timezone_header
S0100501,,Cocuaz,,46.2111960,6.20729900,,,1,,,
0100501_S,,Cocuaz,,46.2111960,6.20729900,,,0,S0100501,S,
ch:1:sloid:93128:0:295252,,"Vandoeuvres, Cocuaz",,46.2111960,6.20729900,,,0,S0100501,,
S0100502,,Colladon,,46.2230220,6.12376300,,,1,,,
0100502_C,,Colladon,,46.2230220,6.12376300,,,0,S0100502,C,
ch:1:sloid:92808:0:423176,,"Genève, Colladon",,46.2230220,6.12376300,,,0,S0100502,,
S0100503,,Colladon,,46.2232760,6.12313500,,,1,,,
0100503_D,,Colladon,,46.2232760,6.12313500,,,0,S0100503,D,
ch:1:sloid:92808:0:76852,,"Genève, Colladon",,46.2232760,6.12313500,,,0,S0100503,,
S0100507,,Collège du Léman,,46.2908060,6.15606300,,,1,,,
0100507_K,,Collège du Léman,,46.2908060,6.15606300,,,0,S0100507,K,
ch:1:sloid:95665:0:993660,,"Versoix, Collège du Léman",,46.2908060,6.15606300,,,0,S0100507,,
S0100508,,Collège du Léman,,46.2906020,6.15635300,,,1,,,
0100508_L,,Collège du Léman,,46.2906020,6.15635300,,,0,S0100508,L,
ch:1:sloid:95665:0:194969,,"Versoix, Collège du Léman",,46.2906020,6.15635300,,,0,S0100508,,
S0100509,,Colovrex,,46.2561830,6.13449200,,,1,,,
0100509_I,,Colovrex,,46.2561830,6.13449200,,,0,S0100509,I,
ch:1:sloid:87048:0:895740,,"Bellevue GE, Colovrex",,46.2561830,6.13449200,,,0,S0100509,,
S0100510,,Colovrex,,46.2562120,6.13394700,,,1,,,
0100510_J,,Colovrex,,46.2562120,6.13394700,,,0,S0100510,J,
ch:1:sloid:87048:0:164652,,"Bellevue GE, Colovrex",,46.2562120,6.13394700,,,0,S0100510,,
S0100511,,Ferney-Levant,,46.2605170,6.11493200,,,1,,,
0100511_P,,Ferney-Levant,,46.2605170,6.11493200,,,0,S0100511,P,
ch:1:sloid:1401738:0:657173,,"Ferney, Levant",,46.2605170,6.11493200,,,0,S0100511,,
S0100512,,Ferney-Levant,,46.2605360,6.11506100,,,1,,,
0100512_Q,,Ferney-Levant,,46.2605360,6.11506100,,,0,S0100512,Q,
ch:1:sloid:1401738:0:109232,,"Ferney, Levant",,46.2605360,6.11506100,,,0,S0100512,,
S0100513,,Collonges-Marché,,46.1419020,6.13810500,,,1,,,
0100513_O,,Collonges-Marché,,46.1419020,6.13810500,,,0,S0100513,O,
ch:1:sloid:1401636:0:863569,,"Collonges, marché",,46.1419020,6.13810500,,,0,S0100513,,
S0100514,,Collonges-Marché,,46.1419080,6.13864800,,,1,,,
0100514_P,,Collonges-Marché,,46.1419080,6.13864800,,,0,S0100514,P,
ch:1:sloid:1401636:0:945472,,"Collonges, marché",,46.1419080,6.13864800,,,0,S0100514,,
S0100515,,Combes Chapuis,,46.3073380,6.12587800,,,1,,,
0100515_U,,Combes Chapuis,,46.3073380,6.12587800,,,0,S0100515,U,
ch:1:sloid:95669:0:959883,,"Sauverny, Combes Chapuis",,46.3073380,6.12587800,,,0,S0100515,,
S0100516,,Combes Chapuis,,46.3070200,6.12637900,,,1,,,
0100516_V,,Combes Chapuis,,46.3070200,6.12637900,,,0,S0100516,V,
ch:1:sloid:95669:0:289553,,"Sauverny, Combes Chapuis",,46.3070200,6.12637900,,,0,S0100516,,
S0100518,,Confignon-Mairie,,46.1735360,6.08461600,,,1,,,
0100518_O,,Confignon-Mairie,,46.1735360,6.08461600,,,0,S0100518,O,
ch:1:sloid:87051:0:804854,,"Confignon, mairie",,46.1735360,6.08461600,,,0,S0100518,,
S0100519,,Confignon-Mairie,,46.1733370,6.08450400,,,1,,,
0100519_P,,Confignon-Mairie,,46.1733370,6.08450400,,,0,S0100519,P,
ch:1:sloid:87051:0:918126,,"Confignon, mairie",,46.1733370,6.08450400,,,0,S0100519,,
S0100520,,Compesières,,46.1515790,6.12230100,,,1,,,
0100520_T,,Compesières,,46.1515790,6.12230100,,,0,S0100520,T,
ch:1:sloid:87050:0:130477,,"Bardonnex, Compesières",,46.1515790,6.12230100,,,0,S0100520,,
S0100521,,Compesières,,46.1515980,6.12237800,,,1,,,
0100521_U,,Compesières,,46.1515980,6.12237800,,,0,S0100521,U,
ch:1:sloid:87050:0:671113,,"Bardonnex, Compesières",,46.1515980,6.12237800,,,0,S0100521,,
S0100523,,Corbillettes,,46.2256280,6.11191700,,,1,,,
0100523_P,,Corbillettes,,46.2256280,6.11191700,,,0,S0100523,P,
ch:1:sloid:92939:0:714523,,"Grand-Saconnex, Corbillettes",,46.2256280,6.11191700,,,0,S0100523,,
S0100524,,Corbillettes,,46.2250840,6.11158000,,,1,,,
0100524_Q,,Corbillettes,,46.2250840,6.11158000,,,0,S0100524,Q,
ch:1:sloid:92939:0:563856,,"Grand-Saconnex, Corbillettes",,46.2250840,6.11158000,,,0,S0100524,,
S0100525,,Concorde,,46.2055400,6.11438900,,,1,,,
0100525_O,,Concorde,,46.2055400,6.11438900,,,0,S0100525,O,
ch:1:sloid:95018:0:440051,,"Genève, Concorde",,46.2055400,6.11438900,,,0,S0100525,,
S0100526,,Concorde,,46.2053020,6.11405700,,,1,,,
0100526_Z,,Concorde,,46.2053020,6.11405700,,,0,S0100526,Z,
ch:1:sloid:95018:0:288408,,"Genève, Concorde",,46.2053020,6.11405700,,,0,S0100526,,
S0100527,,Corbière,,46.1792330,5.97648000,,,1,,,
0100527_Q,,Corbière,,46.1792330,5.97648000,,,0,S0100527,Q,
ch:1:sloid:1401652:0:205965,,"Challex, Corbière",,46.1792330,5.97648000,,,0,S0100527,,
S0100528,,Corbière,,46.1792490,5.97635000,,,1,,,
0100528_R,,Corbière,,46.1792490,5.97635000,,,0,S0100528,R,
ch:1:sloid:1401652:0:635970,,"Challex, Corbière",,46.1792490,5.97635000,,,0,S0100528,,
S0100529,,Courson,,46.2826550,6.23638300,,,1,,,
0100529_R,,Courson,,46.2826550,6.23638300,,,0,S0100529,R,
ch:1:sloid:95009:0:911024,,"Anières, Courson",,46.2826550,6.23638300,,,0,S0100529,,
S0100530,,Courson,,46.2825980,6.23609900,,,1,,,
0100530_C,,Courson,,46.2825980,6.23609900,,,0,S0100530,C,
ch:1:sloid:95009:0:827122,,"Anières, Courson",,46.2825980,6.23609900,,,0,S0100530,,
S0100531,,Au Contour,,46.1623300,6.10236100,,,1,,,
0100531_E,,Au Contour,,46.1623300,6.10236100,,,0,S0100531,E,
ch:1:sloid:93051:0:919253,,"Plan-les-Ouates, Au Contour",,46.1623300,6.10236100,,,0,S0100531,,
S0100532,,Au Contour,,46.1624170,6.10211300,,,1,,,
0100532_F,,Au Contour,,46.1624170,6.10211300,,,0,S0100532,F,
ch:1:sloid:93051:0:610426,,"Plan-les-Ouates, Au Contour",,46.1624170,6.10211300,,,0,S0100532,,
S0100533,,Coutance,,46.2072890,6.14190900,,,1,,,
0100533_W,,Coutance,,46.2072890,6.14190900,,,0,S0100533,W,
ch:1:sloid:92812:0:973994,,"Genève, Coutance",,46.2072890,6.14190900,,,0,S0100533,,
S0100534,,Coutance,,46.2076170,6.14221200,,,1,,,
0100534_X,,Coutance,,46.2076170,6.14221200,,,0,S0100534,X,
ch:1:sloid:92812:0:215234,,"Genève, Coutance",,46.2076170,6.14221200,,,0,S0100534,,
S0100535,,Coutance,,46.2073270,6.14201100,,,1,,,
0100535_Y,,Coutance,,46.2073270,6.14201100,,,0,S0100535,Y,
ch:1:sloid:92812:0:542559,,"Genève, Coutance",,46.2073270,6.14201100,,,0,S0100535,,
S0100536,,Coutance,,46.2076070,6.14218600,,,1,,,
0100536_Z,,Coutance,,46.2076070,6.14218600,,,0,S0100536,Z,
ch:1:sloid:92812:0:167424,,"Genève, Coutance",,46.2076070,6.14218600,,,0,S0100536,,
S0100537,,Corsinge-Village,,46.2403050,6.24459200,,,1,,,
